radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,455,4,8,232369,0,113.549666,22.193756,1000,32,1,1384653703,1408433799,0
UMTS,455,4,8,207709,0,113.54988098145,22.193069458008,1000,2,1,1384653703,1408433799,0
UMTS,455,4,8,232921,0,113.550064,22.189865,1000,15,1,1384653703,1408433799,0
UMTS,455,4,8,231940,0,113.550256,22.189948,1000,11,1,1384653703,1408433799,0
UMTS,455,4,8,247610,0,113.550835,22.18998,1000,36,1,1384653703,1408433799,0
UMTS,455,4,8,247611,0,113.551192,22.18895,1000,22,1,1384653703,1408433799,0
UMTS,455,4,8,231979,0,113.55098,22.18895,1000,5,1,1384653703,1408433799,0
UMTS,455,4,8,232920,0,113.552628,22.189407,1000,3,1,1384653703,1408433799,0
UMTS,455,4,8,231947,0,113.54988098145,22.190322875977,1000,3,1,1384658327,1408433799,0
UMTS,455,4,8,231944,0,113.549881,22.190872,1000,5,1,1384658327,1408433799,0
UMTS,455,4,8,241941,0,113.54988098145,22.190322875977,1000,1,1,1384658327,1384637756,0
UMTS,455,4,8,232924,0,113.550568,22.189178,1000,18,1,1384658327,1408433799,0
UMTS,455,4,8,231932,0,113.54988098145,22.190322875977,1000,1,1,1384658327,1384638025,0
UMTS,455,4,8,232922,0,113.54988098145,22.190322875977,1000,3,1,1384658327,1408433799,0
UMTS,455,4,8,231982,0,113.550568,22.189636,1000,4,1,1384658327,1408433799,0
UMTS,455,4,8,247613,0,113.550131,22.190073,1000,11,1,1384658327,1408433799,0
UMTS,455,4,8,231943,0,113.54988098145,22.190322875977,1000,5,1,1384658327,1384641470,0
UMTS,455,4,8,232294,0,113.54988098145,22.190322875977,1000,1,1,1384658327,1384638080,0
UMTS,455,4,8,231942,0,113.54988098145,22.190322875977,1000,1,1,1384658327,1384638085,0
UMTS,455,4,8,207710,0,113.54988098145,22.190322875977,1000,4,1,1384658327,1408433799,0
UMTS,455,4,8,207719,0,113.54988098145,22.190322875977,1000,1,1,1384658327,1384638180,0
UMTS,455,4,8,247619,0,113.54988098145,22.190322875977,1000,1,1,1384658327,1384638246,0
UMTS,455,4,8,247614,0,113.551254,22.188805,1000,19,1,1384661319,1408433799,0
UMTS,455,4,8,233223,0,113.551254,22.188076,1000,11,1,1384661319,1408433799,0
UMTS,455,4,8,247617,0,113.55125427246,22.188949584961,1000,2,1,1384661319,1408433799,0
UMTS,455,4,8,233220,0,113.551254,22.188126,1000,10,1,1384661319,1408433799,0
UMTS,455,4,8,231980,0,113.551529,22.188126,1000,5,1,1384661319,1408433799,0
UMTS,455,4,8,247620,0,113.550568,22.18895,1000,2,1,1384661319,1408433799,0
UMTS,455,4,8,242921,0,113.54988098145,22.188949584961,1000,1,1,1384661319,1384640816,0
UMTS,455,4,8,231946,0,113.54988098145,22.190322875977,1000,1,1,1384661319,1384641135,0
UMTS,455,4,10,169416,0,113.54164123535,22.205429077148,1000,2,1,1384793334,1390194176,0
UMTS,455,4,5,165935,0,113.54301452637,22.205429077148,1000,1,1,1384793335,1384668215,0
UMTS,455,4,10,151356,0,113.542465,22.205223,1000,20,1,1384793335,1408433799,0
UMTS,455,4,10,151354,0,113.54301452637,22.204055786133,1000,1,1,1384793335,1384669245,0
UMTS,455,4,10,151353,0,113.542099,22.204971,1000,3,1,1384793335,1408433799,0
UMTS,455,4,10,151357,0,113.542465,22.205154,1000,5,1,1384793335,1408433799,0
UMTS,455,4,10,151358,0,113.541298,22.204056,1000,8,1,1384793335,1384673571,0
UMTS,455,4,5,170560,0,113.54301452637,22.191696166992,1000,2,1,1384798486,1385336591,0
UMTS,455,4,5,165310,0,113.545137,22.191446,1000,11,1,1384798486,1408433799,0
UMTS,455,4,5,165305,0,113.542465,22.191696,1000,15,1,1384798486,1408433799,0
UMTS,455,4,5,165674,0,113.541212,22.191696,1000,16,1,1384798486,1408433799,0
UMTS,455,4,5,165673,0,113.540421,22.192459,1000,9,1,1384798486,1408433799,0
GSM,455,1,1,9,0,113.54026794434,22.191696166992,1000,1,1,1384798486,1384731942,0
GSM,455,1,1,1302,0,113.54026794434,22.191696166992,1000,1,1,1384798486,1384731965,0
UMTS,455,4,5,165354,0,113.540611,22.191868,1000,8,1,1384798486,1408433799,0
UMTS,455,4,5,164694,0,113.54026794434,22.193069458008,1000,3,1,1384798486,1408433799,0
UMTS,455,4,5,170444,0,113.540072,22.193266,1000,7,1,1384798486,1408433799,0
UMTS,455,4,5,170744,0,113.539644,22.193569,1000,11,1,1384798486,1408433799,0
GSM,455,1,1,1047,0,113.538666,22.194214,1000,6,1,1384798486,1408433799,0
UMTS,455,4,5,95567,0,113.537521,22.195473,1000,4,1,1384798486,1408433799,0
UMTS,455,4,5,169803,0,113.538366,22.194865,1000,13,1,1384798486,1408433799,0
UMTS,455,4,5,164735,0,113.5375213623,22.195816040039,1000,1,1,1384798486,1384732095,0
UMTS,455,4,5,170745,0,113.537865,22.195301,1000,8,1,1384798486,1408433799,0
UMTS,455,4,5,164193,0,113.5375213623,22.195816040039,1000,3,1,1384798486,1408433799,0
UMTS,455,4,5,169123,0,113.536148,22.196556,1000,13,1,1384798486,1408433799,0
UMTS,455,4,5,169124,0,113.536758,22.198563,1000,9,1,1384798486,1408433799,0
UMTS,455,4,5,164364,0,113.537521,22.200721,1000,7,1,1384798486,1408433799,0
UMTS,455,4,10,165157,0,113.537521,22.202408,1000,10,1,1384798486,1408433799,0
UMTS,455,4,10,165156,0,113.537771,22.203806,1000,11,1,1384798486,1408433799,0
UMTS,455,4,5,165323,0,113.542798,22.19278,1000,19,1,1384805657,1408433799,0
UMTS,455,4,5,165303,0,113.54301452637,22.193069458008,1000,1,1,1384805657,1384749274,0
UMTS,455,4,5,165573,0,113.541779,22.193069,1000,10,1,1384805657,1408433799,0
UMTS,455,4,5,165583,0,113.542169,22.193069,1000,13,1,1384805657,1408433799,0
UMTS,455,4,5,165579,0,113.541985,22.193069,1000,8,1,1384805657,1385354398,0
UMTS,455,4,5,232280,0,113.547134,22.192383,1000,2,1,1384805657,1408433799,0
UMTS,455,4,5,169424,0,113.550339,22.199936,1000,3,1,1384805657,1408433799,0
UMTS,455,4,5,169545,0,113.54988098145,22.199935913086,1000,2,1,1384805657,1408433799,0
UMTS,455,4,5,165334,0,113.54850769043,22.201309204102,1000,4,1,1384805657,1408433799,0
UMTS,455,4,5,141353,0,113.548341,22.201642,1000,33,1,1384805657,1408433799,0
UMTS,455,4,5,141253,0,113.548203,22.202377,1000,9,1,1384805657,1408433799,0
UMTS,455,4,5,170294,0,113.54850769043,22.202682495117,1000,1,1,1384805657,1384749820,0
UMTS,455,4,5,169164,0,113.54713439941,22.202682495117,1000,1,1,1384805657,1384749848,0
UMTS,455,4,5,165526,0,113.54713439941,22.202682495117,1000,5,1,1384805657,1408433799,0
UMTS,455,4,5,165626,0,113.545761,22.203369,1000,2,1,1384805657,1408433799,0
UMTS,455,4,5,98851,0,113.545012,22.20468,1000,11,1,1384805657,1408433799,0
UMTS,455,4,5,170295,0,113.545418,22.204399,1000,4,1,1384805657,1408433799,0
UMTS,455,4,5,169165,0,113.54438781738,22.205429077148,1000,1,1,1384805657,1384750056,0
UMTS,455,4,5,170904,0,113.54438781738,22.205429077148,1000,2,1,1384805657,1408433799,0
UMTS,455,4,5,105359,0,113.54438781738,22.205429077148,1000,2,1,1384805657,1408433799,0
UMTS,455,4,10,165084,0,113.541298,22.205429,1000,4,1,1384805657,1408433799,0
UMTS,455,4,5,170194,0,113.54858,22.199936,1000,19,1,1384844111,1384829024,0
UMTS,455,4,5,169425,0,113.54850769043,22.199935913086,1000,1,1,1384844733,1384565526,0
UMTS,455,4,5,169953,0,113.54850769043,22.199935913086,1000,93,1,1384844738,1384827221,0
UMTS,455,4,5,169956,0,113.54850769043,22.199935913086,1000,51,1,1384844800,1384828424,0
UMTS,455,4,5,170557,0,113.54301452637,22.191696166992,1000,3,1,1385030041,1408433799,0
UMTS,455,4,5,165327,0,113.54301452637,22.193069458008,1000,1,1,1385030041,1385009154,0
UMTS,455,4,5,165576,0,113.54164123535,22.193069458008,1000,2,1,1385030041,1408433799,0
UMTS,455,4,5,165326,0,113.542818,22.193069,1000,7,1,1385030041,1408433799,0
UMTS,455,4,5,234571,0,113.54438781738,22.190322875977,1000,2,1,1385030041,1408433799,0
UMTS,455,4,8,234571,0,113.5457611084,22.191696166992,1000,2,1,1385030041,1408433799,0
UMTS,455,4,8,232286,0,113.547134,22.192039,1000,4,1,1385030041,1408433799,0
UMTS,455,4,8,232347,0,113.54713439941,22.193069458008,1000,2,1,1385030041,1408433799,0
UMTS,455,4,8,232375,0,113.54850769043,22.193069458008,1000,3,1,1385030041,1408433799,0
UMTS,455,4,8,170943,0,113.55262756348,22.195816040039,1000,2,1,1385030041,1408433799,0
UMTS,455,4,5,170943,0,113.55262756348,22.195816040039,1000,2,1,1385030041,1408433799,0
UMTS,455,4,5,170334,0,113.549194,22.201309,1000,2,1,1385030041,1408433799,0
UMTS,455,4,5,105358,0,113.547592,22.202225,1000,3,1,1385030041,1408433799,0
UMTS,455,4,10,169654,0,113.54850769043,22.201309204102,1000,1,1,1385030041,1385009624,0
UMTS,455,4,5,170315,0,113.5457611084,22.204055786133,1000,2,1,1385030041,1385009799,0
UMTS,455,4,10,98848,0,113.5457611084,22.204055786133,1000,3,1,1385030041,1408433799,0
UMTS,455,4,10,98851,0,113.545303,22.204056,1000,3,1,1385030041,1408433799,0
UMTS,455,4,5,169168,0,113.54438781738,22.205429077148,1000,4,1,1385030042,1408433799,0
UMTS,455,4,5,97418,0,113.57460021973,22.15461730957,1000,1,1,1239055742,1239035942,0
UMTS,455,4,5,96809,0,113.5375213623,22.193069458008,1000,1,1,1239055742,1239035942,0
